金融信息_存款准备金率_人民币存款准备金率变动(1985-12-31-2019-01-25)_宏观数据_新浪财经

变动日期, 调整前存款准备金率(%), 调整后存款准备金率(%), 调整幅度(%), 
2019-01-25, 13.50, 13.00, -0.50, 
2019-01-15, 14.00, 13.50, -0.50, 
2018-10-15, 15.00, 14.00, -1.00, 
2018-07-05, 15.50, 15.00, -0.50, 
2018-04-25, 16.50, 15.50, -1.00, 
2016-03-01, 17.00, 16.50, -0.50, 
2015-10-24, 17.50, 17.00, -0.50, 
2015-09-06, 18.00, 17.50, -0.50, 
2015-06-28, 18.50, 18.00, -0.50, 
2015-04-20, 19.50, 18.50, -1.00, 
2015-02-05, 20.00, 19.50, -0.50, 
2012-05-18, 20.50, 20.00, -0.50, 
2012-02-24, 21.00, 20.50, -0.50, 
2011-12-05, 21.50, 21.00, -0.50, 
2011-06-20, 21.00, 21.50, 0.50, 
2011-05-18, 20.50, 21.00, 0.50, 
2011-04-21, 20.00, 20.50, 0.50, 
2011-03-25, 19.50, 20.00, 0.50, 
2011-02-24, 19.00, 19.50, 0.50, 
2011-01-20, 18.50, 19.00, 0.50, 
2010-12-20, 18.00, 18.50, 0.50, 
2010-11-29, 17.50, 18.00, 0.50, 
2010-11-16, 17.00, 17.50, 0.50, 
2010-05-10, 16.50, 17.00, 0.50, 
2010-02-25, 16.00, 16.50, 0.50, 
2010-01-18, 15.50, 16.00, 0.50, 
2008-12-25, 16.00, 15.50, -0.50, 
2008-12-05, 17.00, 16.00, -1.00, 
2008-10-15, 17.50, 17.00, -0.50, 
2008-09-25, 17.50, 17.50, 0.00, 
2008-06-25, 17.00, 17.50, 0.50, 
